season,stage,map_winner,map_loser,map_name,map_type,match_count
3,OWL 2020 Regular Season,San Francisco Shock,Dallas Fuel,Busan,Control,3
3,OWL 2020 Regular Season,Atlanta Reign,Paris Eternal,Hanamura,Assault,2
1,Three,New York Excelsior,Shanghai Dragons,Volskaya Industries,Assault,2
3,OWL 2020 Regular Season,Florida Mayhem,Boston Uprising,Nepal,Control,2
2,Two,Guangzhou Charge,Houston Outlaws,Hanamura,Assault,2
2,Three - Title,New York Excelsior,Shanghai Dragons,Hollywood,Hybrid,2
1,Three,Boston Uprising,London Spitfire,Junkertown,Escort,2
2,One,Chengdu Hunters,Vancouver Titans,Hollywood,Hybrid,2
2,Four,Seoul Dynasty,Los Angeles Valiant,Busan,Control,2
2,Three,Atlanta Reign,Shanghai Dragons,Oasis,Control,2
1,Four,London Spitfire,New York Excelsior,Lijiang Tower,Control,3
1,Four,Houston Outlaws,London Spitfire,Lijiang Tower,Control,2
2,Four,Washington Justice,Houston Outlaws,Route 66,Escort,2
1,Two,New York Excelsior,Shanghai Dragons,Nepal,Control,2
2,Season 2 Championship,San Francisco Shock,Hangzhou Spark,Busan,Control,3
2,Three,Vancouver Titans,Los Angeles Gladiators,Hollywood,Hybrid,2
2,Season 2 Championship,Seoul Dynasty,Guangzhou Charge,Lijiang Tower,Control,2
1,One - Title,New York Excelsior,London Spitfire,Oasis,Control,2
3,OWL 2020 Regular Season,Boston Uprising,Los Angeles Gladiators,Busan,Control,3
1,Three,Los Angeles Gladiators,Los Angeles Valiant,Temple of Anubis,Assault,2
1,Two,San Francisco Shock,Florida Mayhem,Nepal,Control,2
2,Three,San Francisco Shock,Houston Outlaws,Horizon Lunar Colony,Assault,2
3,OWL 2020 Regular Season,San Francisco Shock,Atlanta Reign,Volskaya Industries,Assault,2
2,Three - Title,Shanghai Dragons,New York Excelsior,Watchpoint: Gibraltar,Escort,2
1,Two,New York Excelsior,Dallas Fuel,Hollywood,Hybrid,2
1,Three,New York Excelsior,Seoul Dynasty,Volskaya Industries,Assault,4
1,One,San Francisco Shock,Boston Uprising,Lijiang Tower,Control,3
2,Three,Los Angeles Valiant,London Spitfire,Volskaya Industries,Assault,4
1,Four,San Francisco Shock,New York Excelsior,Oasis,Control,2
2,Four,Atlanta Reign,Hangzhou Spark,Route 66,Escort,2
1,One,Seoul Dynasty,Los Angeles Gladiators,Ilios,Control,2
2,Three,San Francisco Shock,Atlanta Reign,Paris,Assault,2
2,One,Philadelphia Fusion,Washington Justice,Route 66,Escort,2
2,One,Seoul Dynasty,Los Angeles Gladiators,King's Row,Hybrid,2
1,Three,New York Excelsior,Dallas Fuel,Nepal,Control,2
1,One,Los Angeles Valiant,Shanghai Dragons,Temple of Anubis,Assault,2
1,Three,Los Angeles Gladiators,Seoul Dynasty,Oasis,Control,2
2,Two,Chengdu Hunters,Shanghai Dragons,Paris,Assault,2
2,Four,San Francisco Shock,Vancouver Titans,Volskaya Industries,Assault,4
1,Three,Los Angeles Gladiators,Shanghai Dragons,Route 66,Escort,2
2,Four,Vancouver Titans,New York Excelsior,Blizzard World,Hybrid,2
1,One,Florida Mayhem,Los Angeles Gladiators,Junkertown,Escort,2
3,OWL 2020 Regular Season,Los Angeles Valiant,Toronto Defiant,Ilios,Control,2
2,One,Los Angeles Gladiators,San Francisco Shock,Hollywood,Hybrid,2
2,Two,London Spitfire,Paris Eternal,Busan,Control,3
3,OWL 2020 Regular Season,Seoul Dynasty,Chengdu Hunters,Busan,Control,2
1,One,New York Excelsior,Houston Outlaws,Temple of Anubis,Assault,2
1,One,Los Angeles Valiant,Dallas Fuel,Ilios,Control,2
1,Two,New York Excelsior,Houston Outlaws,Lijiang Tower,Control,3
1,Two,New York Excelsior,Los Angeles Valiant,Hollywood,Hybrid,2
2,Season 2 Championship,Hangzhou Spark,Atlanta Reign,Numbani,Hybrid,4
2,Two,Dallas Fuel,Toronto Defiant,Rialto,Escort,2
1,Two,New York Excelsior,Boston Uprising,Hanamura,Assault,2
2,Three,Guangzhou Charge,Washington Justice,Nepal,Control,3
1,One,Los Angeles Valiant,Philadelphia Fusion,Oasis,Control,2
1,Three,Philadelphia Fusion,Florida Mayhem,Volskaya Industries,Assault,2
1,Four,Seoul Dynasty,Florida Mayhem,Oasis,Control,2
1,One,Los Angeles Gladiators,Los Angeles Valiant,Eichenwalde,Hybrid,2
